Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (JHU_MNI_T1_MNI)	Image stdev (JHU_MNI_T1_MNI)
0	Clear Label	10	10	7.5345	23.8262
1	Label 1	13236	13236	81.8467	17.8147
2	Label 2	12051	12051	81.89	17.6906
3	Label 3	11445	11445	78.9614	18.4051
4	Label 4	13309	13309	80.4682	18.4767
5	Label 5	3320	3320	74.9422	17.2565
6	Label 6	5485	5485	78.7345	20.6685
7	Label 7	11729	11729	79.2905	17.9685
8	Label 8	9639	9639	81.3251	16.8972
9	Label 9	15606	15606	74.8446	18.9612
10	Label 10	16137	16137	77.0384	19.4752
11	Label 11	4862	4862	81.128	18.0636
12	Label 12	4671	4671	83.9328	17.0995
13	Label 13	4998	4998	80.2994	20.522
14	Label 14	3958	3958	81.7157	19.5195
15	Label 15	4335	4335	83.4125	19.8165
16	Label 16	3977	3977	85.831	19.0352
17	Label 17	5428	5428	79.2898	17.1154
18	Label 18	5361	5361	77.8976	16.545
19	Label 19	5729	5729	80.448	18.4866
20	Label 20	5743	5743	74.5973	18.8749
21	Label 21	6649	6649	74.4848	18.6633
22	Label 22	7512	7512	75.0513	18.4115
23	Label 23	15875	15875	84.0806	18.8505
24	Label 24	14634	14634	86.6497	19.2682
25	Label 25	16427	16427	85.4461	18.4648
26	Label 26	18556	18556	87.358	18.8227
27	Label 27	9413	9413	86.747	19.6906
28	Label 28	7619	7619	87.208	20.0523
29	Label 29	11471	11471	79.067	18.4875
30	Label 30	10456	10456	81.8131	17.595
31	Label 31	10002	10002	79.6768	18.7267
32	Label 32	15217	15217	80.4098	18.6326
33	Label 33	9943	9943	79.6214	19.1733
34	Label 34	9694	9694	80.2822	18.5029
35	Label 35	16166	16166	79.2788	17.8933
36	Label 36	16445	16445	81.38	16.9411
37	Label 37	6194	6194	71.4882	13.3834
38	Label 38	6193	6193	73.8961	14.4027
39	Label 39	19887	19887	74.4621	17.7167
40	Label 40	19026	19026	75.1063	17.3971
41	Label 41	2955	2955	71.7093	16.9583
42	Label 42	3055	3055	73.2971	16.7255
43	Label 43	13705	13705	73.1899	19.1293
44	Label 44	16101	16101	76.419	18.3123
45	Label 45	1624	1624	90.1399	17.0949
46	Label 46	1783	1783	93.7145	19.284
47	Label 47	1049	1049	91.3295	15.5233
48	Label 48	1249	1249	89.1388	19.8275
49	Label 49	18425	18425	76.347	18.7283
50	Label 50	18385	18385	78.8202	16.6752
51	Label 51	3034	3034	89.5535	21.329
52	Label 52	3159	3159	88.7927	19.9655
53	Label 53	21955	21955	77.425	19.6486
54	Label 54	19226	19226	77.8533	19.064
55	Label 55	5413	5413	78.2057	19.4061
56	Label 56	6414	6414	78.9543	18.2563
57	Label 57	7722	7722	83.5158	20.9146
58	Label 58	6460	6460	82.412	20.3023
59	Label 59	10453	10453	81.1701	20.5112
60	Label 60	10512	10512	82.7439	19.4979
61	Label 61	2944	2944	73.3877	15.1705
62	Label 62	3474	3474	72.272	16.1873
63	Label 63	484	484	78.2033	18.891
64	Label 64	693	693	75.4668	17.4156
65	Label 65	2005	2005	87.0418	18.9174
